local_index_1based,local_index_0based,neuron_id,celltype,side,additional_annotations,level_7_cluster,is_orn,is_left_orn,is_right_orn,is_mbon,is_left_mbon,is_right_mbon
50,49,3840345,sensory,right,olfactory,1,1,0,1,0,0,0
51,50,3865952,sensory,right,olfactory,2,1,0,1,0,0,0
52,51,3872653,sensory,right,olfactory,2,1,0,1,0,0,0
53,52,3885215,sensory,right,olfactory,1,1,0,1,0,0,0
54,53,3893195,sensory,right,olfactory,2,1,0,1,0,0,0
55,54,3896629,sensory,right,olfactory,2,1,0,1,0,0,0
56,55,3913613,LN,right,no official annotation,32,0,0,0,0,0,0
57,56,3954014,sensory,right,olfactory,2,1,0,1,0,0,0
58,57,3958234,sensory,right,olfactory,1,1,0,1,0,0,0
59,58,3963891,sensory,right,olfactory,1,1,0,1,0,0,0
60,59,3980315,sensory,right,olfactory,1,1,0,1,0,0,0
61,60,4022539,MBON,right,MBON-m1; CN-62,82,0,0,0,1,0,1
62,61,4073353,sensory,right,olfactory,1,1,0,1,0,0,0
63,62,4076389,sensory,right,olfactory,2,1,0,1,0,0,0
64,63,4101295,LN,right,no official annotation,28,0,0,0,0,0,0
65,64,4102413,LN,right,no official annotation,38,0,0,0,0,0,0
66,65,4117305,KC,left,KC,36,0,0,0,0,0,0
67,66,4119387,PN,right,mPN; Multiglomerular PN 7; mPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN; thermo-warm 2nd_order PN,32,0,0,0,0,0,0
68,67,4134539,KC,left,KC,39,0,0,0,0,0,0
69,68,4195012,MBON,right,MBON-h1; MBON-h2,59,0,0,0,1,0,1
70,69,4227304,KC,right,KC,30,0,0,0,0,0,0
71,70,4227544,KC,right,KC,39,0,0,0,0,0,0
72,71,4229950,KC,right,KC,40,0,0,0,0,0,0
73,72,4230061,KC,right,KC,30,0,0,0,0,0,0
74,73,4230739,KC,right,KC,30,0,0,0,0,0,0
75,74,4230749,MBON,right,MBON-h1; MBON-h2,59,0,0,0,1,0,1
76,75,4234009,MBON,right,MBON-b3,59,0,0,0,1,0,1
77,76,4241192,KC,right,KC,30,0,0,0,0,0,0
78,77,4241237,MBON,right,MBON-d1,59,0,0,0,1,0,1
79,78,4247099,LN,right,no official annotation,10,0,0,0,0,0,0
80,79,4324898,PN,right,mPN; mPN seahorse; mPN; olfactory 2nd_order PN,22,0,0,0,0,0,0
81,80,4327684,PN,right,mPN; FFN-21; mPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN; thermo-warm 2nd_order PN,22,0,0,0,0,0,0
82,81,4354933,PN,left,85c PN; uPN; olfactory 2nd_order PN,12,0,0,0,0,0,0
83,82,4391978,PN,right,mPN; Multiglomerular PN 3; mPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN,22,0,0,0,0,0,0
84,83,4401350,MBON,left,MBON-g1,59,0,0,0,1,1,0
85,84,4411505,KC,left,KC,30,0,0,0,0,0,0
86,85,4412036,KC,left,KC,30,0,0,0,0,0,0
87,86,4412315,KC,left,KC,30,0,0,0,0,0,0
88,87,4414426,KC,right,KC,33,0,0,0,0,0,0
89,88,4415241,KC,right,KC,40,0,0,0,0,0,0
90,89,4444354,KC,right,KC,30,0,0,0,0,0,0
91,90,4493199,PN,left,13a PN; uPN; olfactory 2nd_order PN,12,0,0,0,0,0,0
92,91,4518546,KC,left,KC,30,0,0,0,0,0,0
93,92,4570270,LN,left,no official annotation,28,0,0,0,0,0,0
94,93,4598109,MBON,right,MBON-f1,64,0,0,0,1,0,1
95,94,4598363,MBON,right,MBON-g1,59,0,0,0,1,0,1
96,95,4620453,LN,right,no official annotation,17,0,0,0,0,0,0
97,96,4636432,LN,left,no official annotation,28,0,0,0,0,0,0
98,97,4651929,PN,right,94a&94b PN; uPN; olfactory 2nd_order PN,12,0,0,0,0,0,0
99,98,4665186,LN,left,LHN-13; CN-49,32,0,0,0,0,0,0
100,99,4679139,PN,right,mPN; mPN iACT A2; mPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN,22,0,0,0,0,0,0
101,100,4700078,PN,right,mPN; mPN iACT B2; mPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN; thermo-warm 2nd_order PN,22,0,0,0,0,0,0
102,101,4785242,LN,left,no official annotation,56,0,0,0,0,0,0
103,102,4926999,LN,left,no official annotation,28,0,0,0,0,0,0
104,103,4982172,KC,right,KC,49,0,0,0,0,0,0
105,104,4985759,LN,left,Thermo PN 2,17,0,0,0,0,0,0
106,105,5019924,KC,right,KC,30,0,0,0,0,0,0
107,106,5030808,LN,left,no official annotation,10,0,0,0,0,0,0
108,107,5051342,KC,right,KC,30,0,0,0,0,0,0
109,108,5090549,sensory,left,olfactory,2,1,1,0,0,0,0
110,109,5247102,LN,right,no official annotation,10,0,0,0,0,0,0
111,110,5261424,PN,left,mPN; mPN iACT A2; mPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN,22,0,0,0,0,0,0
112,111,5291791,LN,left,no official annotation,10,0,0,0,0,0,0
113,112,5322337,LN,left,no official annotation,3,0,0,0,0,0,0
114,113,5395823,MBON,left,MBON-g2,59,0,0,0,1,1,0
115,114,5474852,LN,left,CN-5,41,0,0,0,0,0,0
116,115,5835799,KC,right,KC,30,0,0,0,0,0,0
117,116,5835815,KC,right,KC,33,0,0,0,0,0,0
118,117,5836035,KC,right,KC,30,0,0,0,0,0,0
119,118,5836163,KC,right,KC,30,0,0,0,0,0,0
120,119,5836181,KC,right,KC,33,0,0,0,0,0,0
121,120,5836197,KC,right,KC,30,0,0,0,0,0,0
122,121,5836206,KC,right,KC,30,0,0,0,0,0,0
123,122,5836387,KC,right,KC,33,0,0,0,0,0,0
124,123,5937084,KC,left,KC,30,0,0,0,0,0,0
125,124,6219781,LN,right,no official annotation,3,0,0,0,0,0,0
126,125,6340439,sensory,left,olfactory,2,1,1,0,0,0,0
127,126,6451332,PN,left,mPN; mPN D; mPN; olfactory 2nd_order PN,22,0,0,0,0,0,0
128,127,6557581,LN,right,no official annotation,10,0,0,0,0,0,0
129,128,6699205,MBON,right,MBON-d2,64,0,0,0,1,0,1
130,129,6702830,KC,left,KC,42,0,0,0,0,0,0
131,130,6703240,MBON,right,MBON-n1,64,0,0,0,1,0,1
132,131,6704232,KC,left,KC,33,0,0,0,0,0,0
133,132,6791927,sensory,left,olfactory,1,1,1,0,0,0,0
134,133,7055857,MBON,left,MBON-d1,59,0,0,0,1,1,0
